PLACES,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
PRATOVECCHIO, 39, 39, 39, 39, 39, 40, 40, 41, 41, 41, 41, 41, 42, 42, 42, 41, 41, 42, 42, 42, 42, 42, 42, 42, 42, 43, 43, 43, 43, 43, 42, 42, 42, 42, 42, 43
PRATO, 35, 35, 36, 36, 36, 37, 37, 37, 37, 38, 38, 38, 39, 39, 39, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 41, 41, 41, 40, 40, 40, 40, 40, 40
PRAVISDOMINI, 36, 35, 35, 36, 35, 36, 36, 36, 36, 37, 37, 37, 38, 38, 38, 39, 39, 39, 39, 39, 39, 39, 39, 38, 38, 37, 37, 37, 37, 38, 39, 39, 39, 38, 38, 37
PRAY, 41, 41, 41, 42, 41, 42, 42, 42, 43, 43, 44, 44, 44, 44, 44, 44, 44, 44, 45, 45, 45, 45, 45, 45, 45, 45, 45, 46, 46, 46, 45, 45, 45, 45, 46, 45
PRAZZO, 45, 45, 45, 45, 45, 48, 48, 48, 49, 49, 49, 50, 50, 50, 50, 50, 49, 50, 51, 52, 51, 51, 50, 50, 50, 51, 50, 49, 48, 48, 50, 49, 50, 50, 50, 51
PRECENICCO, 36, 36, 37, 38, 37, 38, 38, 38, 39, 39, 39, 39, 39, 39, 39, 39, 40, 40, 41, 42, 42, 42, 42, 42, 42, 42, 42, 43, 43, 44, 42, 42, 42, 42, 42, 42
PRECI, 42, 42, 43, 43, 43, 43, 44, 44, 44, 44, 44, 45, 45, 45, 45, 45, 46, 46, 45, 45, 46, 45, 45, 45, 45, 45, 45, 45, 46, 46, 45, 45, 45, 45, 45, 45
PREDAPPIO, 38, 38, 39, 39, 39, 40, 40, 40, 41, 41, 41, 42, 42, 42, 42, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 44, 43, 43, 43, 43, 43, 43
PREDAZZO, 34, 35, 35, 35, 35, 36, 36, 36, 36, 36, 37, 37, 38, 38, 38, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 40, 40, 40, 41, 41, 39, 39, 39, 39, 39, 40
PREDOI, 30, 30, 31, 32, 31, 32, 33, 33, 32, 35, 36, 36, 36, 36, 36, 37, 38, 37, 38, 38, 39, 39, 40, 40, 41, 42, 41, 41, 42, 42, 39, 39, 40, 40, 41, 42
PREDORE, 33, 33, 34, 34, 34, 34, 35, 36, 36, 36, 37, 37, 38, 38, 38, 39, 39, 39, 39, 39, 39, 39, 40, 40, 40, 40, 40, 40, 40, 40, 39, 39, 40, 40, 39, 40
PREDOSA, 43, 43, 43, 44, 44, 44, 44, 45, 45, 45, 45, 45, 45, 45, 45, 45, 44, 45, 45, 45, 45, 46, 46, 46, 46, 46, 45, 46, 46, 46, 45, 45, 46, 45, 45, 46
PREGANZIOL, 32, 33, 33, 33, 34, 34, 34, 35, 35, 35, 36, 36, 36, 37, 37, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 39, 39, 40, 40, 40, 38, 39, 39, 39, 39, 39
PREGNANA MILANESE, 31, 32, 32, 32, 32, 33, 33, 34, 34, 35, 35, 36, 36, 36, 37, 37, 38, 38, 38, 39, 39, 39, 39, 40, 40, 40, 41, 41, 40, 41, 39, 39, 39, 40, 40, 40
PRELÀ, 48, 48, 49, 50, 50, 50, 51, 51, 51, 52, 52, 51, 51, 51, 51, 51, 51, 50, 51, 51, 52, 52, 52, 51, 51, 49, 49, 49, 49, 48, 51, 51, 51, 50, 49, 49
PREMANA, 29, 29, 30, 31, 31, 31, 32, 32, 32, 33, 34, 34, 34, 34, 35, 35, 35, 36, 36, 36, 37, 37, 37, 38, 38, 38, 39, 39, 39, 40, 37, 37, 37, 38, 38, 38
PREMARIACCO, 34, 34, 34, 34, 35, 35, 35, 36, 36, 36, 37, 37, 37, 37, 37, 38, 38, 39, 39, 39, 39, 40, 40, 40, 41, 41, 41, 41, 41, 42, 39, 40, 40, 40, 40, 41
PREMENO, 37, 37, 37, 37, 38, 39, 39, 39, 39, 40, 40, 41, 41, 41, 41, 42, 41, 41, 41, 42, 42, 42, 43, 43, 43, 44, 44, 45, 45, 45, 42, 42, 43, 43, 43, 44
PREMIA, 37, 36, 37, 38, 37, 38, 37, 38, 38, 38, 38, 39, 38, 39, 40, 40, 41, 41, 41, 41, 41, 41, 41, 42, 42, 43, 44, 44, 45, 45, 41, 41, 42, 42, 43, 43
PREMILCUORE, 41, 41, 41, 41, 41, 41, 42, 42, 43, 43, 44, 44, 45, 46, 46, 47, 47, 48, 48, 48, 48, 48, 47, 48, 48, 49, 48, 48, 49, 49, 48, 48, 48, 48, 49, 49
PREMOLO, 33, 33, 34, 35, 35, 35, 35, 36, 37, 37, 38, 38, 37, 37, 37, 37, 38, 37, 38, 38, 39, 39, 39, 39, 39, 39, 39, 40, 41, 41, 39, 39, 39, 39, 39, 39
PREMOSELLO-CHIOVENDA, 36, 36, 36, 36, 37, 37, 37, 38, 39, 39, 39, 39, 39, 39, 39, 39, 40, 40, 41, 41, 41, 41, 42, 42, 42, 42, 42, 42, 42, 43, 41, 41, 42, 42, 42, 42
PREONE, 40, 41, 40, 41, 43, 43, 44, 45, 46, 47, 48, 48, 49, 48, 49, 49, 50, 50, 52, 52, 51, 51, 51, 52, 51, 50, 50, 51, 51, 52, 51, 52, 51, 51, 51, 50
PREORE, 33, 33, 33, 33, 32, 33, 33, 32, 34, 34, 36, 36, 36, 37, 37, 37, 37, 37, 37, 38, 37, 37, 38, 39, 40, 40, 41, 41, 41, 41, 37, 38, 39, 39, 40, 40
PREPOTTO, 38, 38, 38, 38, 38, 39, 39, 40, 40, 40, 40, 40, 40, 40, 41, 42, 41, 42, 42, 42, 42, 43, 43, 43, 44, 45, 46, 46, 46, 46, 42, 42, 43, 43, 44, 45
PRESEGLIE, 33, 34, 34, 35, 35, 35, 35, 36, 37, 37, 37, 38, 37, 37, 37, 37, 38, 38, 38, 38, 38, 38, 38, 38, 38, 39, 39, 39, 40, 40, 38, 38, 38, 38, 38, 39
PRESENZANO, 32, 32, 33, 33, 33, 34, 33, 33, 33, 33, 34, 34, 34, 35, 36, 36, 36, 36, 37, 37, 37, 38, 38, 38, 38, 38, 39, 39, 39, 39, 38, 38, 38, 38, 39, 39
PRESEZZO, 30, 30, 30, 31, 31, 31, 32, 32, 32, 33, 33, 34, 34, 34, 35, 35, 36, 36, 36, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 39, 37, 37, 38, 38, 38, 38
PRESICCE, 32, 32, 32, 33, 33, 33, 34, 34, 35, 36, 37, 37, 37, 37, 37, 37, 37, 38, 38, 39, 40, 40, 40, 40, 41, 41, 42, 42, 42, 42, 39, 40, 40, 40, 41, 41
PRESSANA, 34, 34, 34, 34, 34, 34, 35, 35, 35, 36, 36, 36, 37, 37, 37, 38, 38, 38, 39, 39, 39, 39, 39, 39, 39, 40, 40, 40, 40, 40, 39, 39, 39, 39, 39, 40
PRESTINE, 37, 39, 39, 38, 38, 39, 38, 38, 39, 39, 39, 39, 40, 40, 39, 40, 39, 40, 39, 39, 40, 40, 40, 40, 39, 40, 40, 41, 42, 42, 40, 40, 40, 40, 40, 41
PRETORO, 37, 36, 37, 37, 37, 37, 37, 37, 38, 39, 39, 39, 40, 40, 39, 40, 40, 40, 40, 40, 40, 40, 40, 40, 41, 41, 41, 42, 42, 42, 41, 41, 40, 41, 41, 42
PREVALLE, 32, 32, 32, 33, 33, 34, 34, 34, 34, 35, 35, 35, 36, 36, 36, 36, 36, 37, 37, 37, 37, 37, 37, 37, 36, 37, 37, 37, 37, 37, 37, 37, 37, 36, 36, 36
PREZZA, 44, 44, 44, 44, 44, 45, 45, 45, 45, 46, 48, 48, 48, 49, 49, 48, 49, 48, 48, 48, 47, 47, 48, 48, 49, 49, 48, 47, 47, 47, 47, 47, 47, 48, 48, 48
PREZZO, 36, 39, 40, 38, 39, 38, 36, 38, 33, 38, 40, 40, 41, 40, 40, 42, 42, 42, 43, 43, 42, 42, 42, 42, 42, 41, 41, 39, 39, 39, 42, 42, 42, 42, 42, 41
PRIERO, 48, 48, 48, 50, 50, 49, 49, 49, 49, 49, 49, 48, 48, 47, 46, 45, 45, 43, 43, 43, 43, 44, 44, 42, 43, 42, 42, 42, 42, 43, 43, 44, 43, 42, 42, 42
PRIGNANO CILENTO, 39, 40, 40, 40, 41, 41, 40, 40, 40, 40, 40, 39, 40, 40, 41, 41, 41, 42, 42, 42, 42, 43, 42, 42, 41, 42, 42, 41, 41, 42, 42, 43, 42, 42, 42, 42
PRIGNANO SULLA SECCHIA, 38, 38, 38, 38, 39, 39, 39, 40, 40, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 42, 42, 42, 42, 42, 42, 42, 43, 43, 43, 43, 42, 42, 42, 42, 42, 42
PRIMALUNA, 32, 33, 33, 33, 33, 33, 34, 34, 34, 35, 35, 36, 37, 37, 37, 37, 37, 37, 37, 37, 37, 38, 38, 38, 38, 38, 39, 39, 39, 39, 37, 38, 38, 38, 38, 38
PRIOCCA, 38, 38, 38, 38, 38, 38, 38, 39, 39, 39, 40, 40, 40, 40, 40, 40, 40, 41, 40, 40, 40, 41, 41, 41, 42, 42, 42, 42, 43, 43, 40, 41, 41, 41, 42, 42
PRIOLA, 44, 44, 44, 44, 44, 44, 44, 44, 44, 45, 45, 44, 44, 45, 44, 44, 44, 44, 44, 44, 43, 44, 45, 44, 44, 43, 44, 44, 45, 45, 43, 44, 45, 44, 44, 43
PRIOLO GARGALLO, 28, 29, 29, 30, 30, 30, 30, 31, 31, 31, 32, 32, 32, 32, 33, 33, 34, 34, 34, 34, 35, 35, 36, 36, 36, 37, 37, 37, 38, 38, 35, 35, 36, 36, 36, 37
PRIVERNO, 33, 33, 34, 34, 34, 34, 34, 34, 35, 35, 35, 36, 36, 36, 36, 37, 37, 37, 38, 38, 38, 39, 39, 39, 40, 40, 40, 40, 40, 41, 39, 39, 39, 39, 39, 40
PRIZZI, 38, 38, 38, 39, 39, 39, 39, 39, 40, 40, 40, 40, 40, 41, 41, 41, 41, 41, 41, 42, 42, 42, 42, 42, 42, 42, 43, 43, 43, 43, 41, 42, 42, 42, 44, 44
PROCENO, 40, 39, 40, 40, 40, 41, 41, 42, 42, 42, 42, 43, 44, 44, 44, 45, 45, 45, 46, 45, 46, 47, 47, 47, 47, 47, 47, 47, 47, 48, 46, 47, 47, 48, 47, 48
PROCIDA, 32, 32, 32, 33, 33, 33, 34, 34, 34, 35, 36, 36, 36, 37, 37, 37, 37, 38, 38, 39, 39, 39, 39, 40, 40, 40, 41, 41, 41, 41, 39, 39, 39, 40, 40, 40
PROPATA, 51, 51, 50, 53, 53, 53, 55, 56, 57, 55, 54, 55, 53, 53, 54, 54, 52, 51, 51, 50, 51, 51, 50, 49, 51, 50, 50, 51, 49, 49, 51, 52, 51, 50, 52, 51
PROSERPIO, 34, 34, 35, 35, 35, 35, 34, 35, 36, 36, 36, 36, 37, 37, 36, 37, 37, 38, 38, 38, 39, 38, 39, 39, 39, 40, 40, 40, 41, 41, 39, 38, 39, 39, 39, 40
PROSSEDI, 38, 37, 37, 37, 36, 37, 37, 36, 37, 36, 37, 37, 37, 38, 38, 38, 39, 39, 40, 40, 41, 41, 41, 42, 42, 42, 42, 42, 43, 43, 41, 42, 42, 42, 42, 43
PROVAGLIO D'ISEO, 32, 32, 33, 33, 33, 34, 34, 34, 35, 35, 35, 36, 36, 36, 37, 37, 37, 37, 37, 38, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 38, 38, 38, 38, 38, 38
PROVAGLIO VAL SABBIA, 35, 35, 35, 35, 34, 34, 35, 35, 35, 35, 37, 37, 38, 38, 38, 37, 37, 37, 37, 38, 38, 39, 39, 39, 40, 40, 40, 40, 41, 41, 38, 39, 39, 39, 40, 40
PROVES, 30, 29, 29, 30, 30, 31, 30, 31, 30, 31, 33, 34, 34, 34, 34, 34, 35, 35, 36, 37, 36, 35, 36, 36, 37, 37, 38, 38, 38, 38, 36, 35, 36, 36, 37, 37
PROVINCIA AUTONOMA BOLZANO, 32, 32, 32, 33, 33, 33, 33, 34, 34, 34, 35, 35, 35, 35, 36, 36, 36, 36, 37, 37, 37, 37, 37, 38, 38, 38, 38, 38, 39, 39, 37, 37, 37, 38, 38, 38
PROVINCIA AUTONOMA TRENTO, 34, 35, 35, 35, 35, 36, 36, 36, 36, 37, 37, 37, 37, 38, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 39, 40, 40, 40, 40, 40, 39, 39, 39, 39, 39, 40
PROVVIDENTI, 38, 38, 38, 38, 39, 40, 39, 38, 40, 39, 41, 41, 42, 41, 40, 43, 43, 41, 42, 44, 44, 44, 45, 46, 46, 48, 46, 46, 46, 47, 44, 43, 43, 44, 45, 47
PRUNETTO, 43, 43, 44, 44, 44, 45, 45, 46, 45, 47, 46, 46, 47, 47, 47, 47, 48, 47, 46, 48, 48, 49, 50, 50, 50, 50, 50, 50, 50, 50, 48, 49, 50, 49, 49, 50
PRÉ-SAINT-DIDIER, 33, 32, 33, 33, 34, 34, 34, 34, 35, 34, 35, 35, 35, 36, 36, 36, 37, 37, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 39, 39, 38, 38, 39, 39, 39, 39
PUEGNAGO SUL GARDA, 34, 34, 35, 35, 36, 36, 36, 37, 37, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 39, 39, 40, 40, 40, 40, 40, 40, 40, 41, 41, 39, 40, 40, 40, 40, 40
PUGLIANELLO, 34, 35, 35, 35, 36, 36, 36, 37, 37, 37, 38, 38, 38, 38, 38, 38, 38, 39, 38, 39, 39, 38, 38, 38, 39, 39, 39, 39, 40, 40, 39, 39, 39, 39, 39, 40
PULA, 29, 30, 30, 30, 31, 31, 32, 32, 33, 33, 34, 34, 34, 34, 35, 35, 36, 36, 37, 37, 38, 38, 39, 39, 40, 40, 40, 41, 41, 42, 38, 38, 39, 39, 40, 40
PULFERO, 41, 41, 42, 42, 42, 42, 42, 43, 43, 44, 44, 44, 44, 44, 44, 44, 45, 44, 45, 45, 45, 46, 45, 46, 46, 46, 46, 46, 47, 47, 45, 45, 45, 46, 46, 46
PULSANO, 29, 29, 30, 30, 30, 31, 31, 31, 32, 32, 33, 33, 34, 34, 34, 35, 35, 36, 36, 37, 37, 37, 38, 38, 38, 39, 39, 39, 40, 40, 37, 37, 38, 38, 38, 39
PUMENENGO, 33, 33, 34, 34, 34, 35, 35, 35, 36, 35, 36, 36, 37, 37, 38, 38, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 39, 39, 39, 38, 39, 39, 39, 39, 39, 39
PUOS D'ALPAGO, 35, 36, 36, 36, 37, 37, 37, 37, 37, 38, 38, 39, 39, 39, 39, 39, 40, 40, 40, 40, 40, 40, 41, 41, 41, 41, 40, 40, 41, 41, 40, 40, 41, 41, 41, 41
PUSIANO, 31, 31, 32, 32, 32, 33, 33, 34, 34, 34, 35, 36, 37, 37, 38, 38, 38, 39, 39, 39, 38, 38, 38, 38, 38, 38, 39, 40, 40, 41, 38, 39, 38, 39, 38, 38
PUTIFIGARI, 32, 32, 33, 34, 34, 35, 35, 35, 34, 34, 35, 35, 35, 35, 35, 35, 35, 35, 35, 36, 36, 37, 37, 37, 36, 37, 37, 38, 39, 39, 36, 37, 37, 37, 37, 37
PUTIGNANO, 31, 31, 31, 32, 32, 32, 33, 33, 33, 34, 34, 34, 35, 35, 36, 36, 36, 37, 37, 38, 38, 38, 39, 39, 40, 40, 40, 41, 41, 42, 38, 38, 39, 39, 40, 40
QUADRELLE, 30, 30, 30, 30, 30, 30, 29, 30, 30, 30, 31, 31, 31, 32, 32, 33, 33, 33, 34, 34, 34, 34, 34, 34, 34, 34, 35, 35, 36, 36, 34, 34, 34, 34, 34, 35
QUADRI, 33, 34, 34, 34, 35, 34, 35, 35, 36, 37, 38, 38, 39, 39, 39, 39, 40, 40, 40, 41, 41, 41, 42, 42, 43, 43, 43, 43, 44, 44, 41, 41, 42, 42, 43, 43
QUAGLIUZZO, 36, 35, 35, 36, 36, 39, 37, 38, 37, 37, 39, 40, 40, 40, 40, 41, 40, 41, 41, 41, 41, 42, 42, 42, 41, 41, 42, 43, 44, 45, 42, 42, 42, 42, 42, 42
QUALIANO, 25, 25, 25, 25, 25, 26, 26, 26, 26, 26, 27, 27, 28, 28, 28, 28, 28, 29, 29, 30, 30, 30, 31, 31, 32, 32, 33, 33, 34, 34, 30, 30, 31, 31, 32, 32
QUARANTI, 40, 38, 39, 40, 42, 41, 44, 44, 44, 44, 45, 45, 45, 43, 42, 43, 42, 43, 42, 44, 46, 44, 43, 45, 44, 45, 47, 46, 46, 48, 46, 45, 44, 45, 45, 46
QUAREGNA, 33, 33, 34, 34, 34, 34, 35, 35, 35, 35, 37, 37, 38, 38, 39, 39, 39, 39, 40, 40, 40, 40, 40, 40, 40, 40, 41, 41, 42, 42, 40, 40, 40, 40, 40, 41
QUARGNENTO, 41, 41, 42, 42, 42, 41, 42, 42, 42, 42, 42, 42, 43, 43, 43, 43, 43, 43, 43, 43, 44, 43, 43, 42, 43, 43, 43, 43, 43, 43, 44, 44, 42, 42, 43, 43
QUARNA SOPRA, 42, 44, 45, 45, 45, 43, 44, 43, 43, 41, 42, 44, 43, 43, 44, 45, 46, 47, 47, 48, 48, 48, 48, 49, 48, 49, 49, 50, 50, 49, 49, 49, 49, 49, 50, 50
QUARNA SOTTO, 43, 43, 43, 43, 44, 46, 45, 46, 46, 46, 48, 48, 48, 49, 48, 47, 47, 48, 47, 48, 48, 48, 48, 48, 48, 48, 48, 49, 49, 49, 48, 48, 48, 48, 48, 49
QUARONA, 35, 36, 36, 37, 37, 37, 38, 38, 38, 39, 39, 39, 39, 39, 40, 40, 40, 40, 41, 41, 41, 41, 41, 42, 42, 42, 42, 43, 43, 43, 41, 41, 41, 42, 42, 42
QUARRATA, 34, 35, 35, 35, 36, 36, 36, 37, 37, 38, 38, 38, 38, 39, 39, 39, 39, 40, 40, 40, 40, 40, 40, 40, 41, 41, 41, 41, 41, 41, 40, 40, 40, 40, 40, 41
QUARTO D'ALTINO, 31, 31, 32, 32, 33, 33, 34, 34, 35, 35, 36, 36, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 40, 40, 40, 40, 40, 40, 40, 40, 39, 39, 40, 40, 40, 40
QUARTO, 23, 24, 24, 25, 25, 25, 26, 26, 27, 27, 28, 29, 29, 29, 29, 30, 30, 31, 31, 31, 32, 32, 32, 33, 33, 34, 34, 34, 35, 35, 32, 32, 32, 33, 33, 34
QUARTU SANT'ELENA, 27, 28, 28, 28, 29, 29, 29, 30, 30, 31, 31, 31, 32, 32, 33, 33, 34, 34, 35, 35, 36, 36, 37, 37, 37, 38, 38, 39, 39, 40, 36, 36, 36, 37, 37, 38
QUART, 37, 37, 38, 38, 38, 37, 38, 37, 37, 37, 38, 38, 38, 39, 39, 39, 39, 40, 39, 39, 39, 39, 40, 40, 40, 40, 40, 40, 40, 40, 39, 39, 40, 40, 40, 40
QUASSOLO, 39, 39, 40, 40, 40, 41, 42, 43, 42, 43, 44, 44, 44, 43, 44, 44, 43, 44, 44, 43, 44, 46, 45, 44, 44, 45, 45, 45, 46, 46, 43, 45, 45, 44, 44, 45
QUATTORDIO, 38, 38, 38, 39, 39, 40, 40, 41, 41, 41, 42, 42, 41, 42, 43, 43, 43, 44, 44, 44, 44, 45, 45, 45, 45, 45, 45, 45, 45, 45, 44, 45, 45, 45, 45, 45
QUATTRO CASTELLA, 36, 36, 36, 37, 37, 37, 38, 38, 38, 39, 39, 39, 39, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 41, 41, 41, 41, 41, 40, 40, 41, 40, 41, 41
QUERO, 34, 35, 35, 35, 36, 36, 37, 37, 37, 37, 38, 38, 37, 38, 38, 38, 39, 39, 39, 39, 39, 38, 39, 38, 38, 39, 38, 39, 40, 40, 39, 39, 39, 38, 38, 39
QUILIANO, 37, 38, 38, 39, 39, 39, 40, 40, 40, 41, 41, 41, 42, 42, 42, 42, 43, 43, 43, 43, 44, 44, 44, 44, 44, 44, 44, 44, 45, 45, 43, 44, 44, 44, 44, 44
QUINCINETTO, 35, 35, 35, 36, 36, 36, 36, 37, 38, 38, 38, 38, 39, 40, 41, 42, 42, 42, 42, 42, 42, 44, 44, 45, 44, 45, 45, 44, 45, 45, 43, 44, 44, 44, 44, 44
QUINDICI, 31, 31, 31, 31, 31, 31, 32, 32, 33, 33, 34, 34, 34, 35, 35, 35, 36, 36, 37, 38, 38, 39, 39, 40, 40, 40, 40, 40, 40, 40, 38, 39, 39, 40, 37, 38
QUINGENTOLE, 41, 41, 41, 41, 42, 42, 42, 42, 42, 42, 41, 41, 42, 42, 42, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 44, 44, 44, 43, 43, 43, 43, 43, 43
QUINTANO, 31, 30, 30, 31, 32, 32, 33, 33, 34, 33, 34, 34, 35, 35, 36, 36, 36, 36, 36, 37, 38, 37, 37, 37, 36, 36, 37, 37, 38, 38, 38, 38, 37, 37, 36, 36
QUINTO DI TREVISO, 31, 31, 31, 31, 32, 32, 33, 33, 34, 34, 34, 35, 35, 35, 36, 36, 37, 37, 37, 38, 38, 38, 39, 39, 39, 39, 39, 39, 40, 40, 38, 38, 39, 39, 39, 39
QUINTO VERCELLESE, 40, 38, 38, 39, 40, 38, 38, 37, 37, 39, 38, 38, 38, 37, 38, 39, 39, 40, 40, 41, 41, 41, 41, 39, 40, 39, 40, 41, 41, 42, 41, 41, 41, 40, 40, 40
QUINTO VICENTINO, 31, 31, 32, 32, 32, 32, 33, 33, 33, 34, 34, 34, 34, 35, 35, 35, 35, 36, 36, 36, 37, 37, 37, 37, 37, 38, 38, 38, 38, 38, 37, 37, 37, 37, 37, 37
QUINZANO D'OGLIO, 32, 33, 33, 33, 34, 34, 34, 35, 35, 35, 36, 36, 37, 37, 37, 38, 38, 39, 39, 39, 39, 40, 40, 40, 40, 40, 40, 40, 40, 41, 39, 40, 40, 40, 40, 40
QUISTELLO, 38, 39, 39, 39, 40, 40, 40, 41, 41, 41, 42, 42, 42, 43, 43, 43, 43, 44, 43, 43, 44, 44, 44, 44, 44, 44, 44, 45, 45, 45, 44, 44, 44, 44, 44, 44
QUITTENGO, 48, 49, 46, 49, 49, 45, 48, 48, 49, 47, 45, 43, 44, 44, 44, 44, 44, 44, 45, 45, 47, 47, 46, 46, 46, 45, 46, 47, 46, 46, 47, 48, 46, 46, 46, 45
RABBI, 38, 38, 38, 38, 38, 37, 38, 38, 37, 38, 37, 38, 38, 38, 39, 39, 39, 39, 39, 39, 38, 39, 38, 39, 39, 39, 40, 40, 40, 41, 38, 39, 38, 39, 39, 40
RACALE, 31, 31, 31, 32, 32, 32, 32, 33, 33, 33, 34, 34, 35, 35, 35, 35, 36, 36, 36, 36, 37, 37, 37, 37, 38, 38, 38, 39, 39, 39, 37, 37, 37, 37, 38, 38
RACALMUTO, 33, 34, 34, 34, 34, 34, 34, 35, 35, 35, 36, 36, 36, 37, 37, 37, 37, 38, 38, 38, 39, 39, 39, 39, 39, 40, 40, 40, 40, 40, 39, 39, 39, 40, 40, 40
RACCONIGI, 36, 36, 36, 37, 37, 37, 37, 38, 38, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 39, 40, 40, 40, 40, 40, 40, 41, 41, 41, 41, 40, 40, 40, 40, 40, 40
RACCUJA, 35, 35, 36, 36, 37, 37, 37, 38, 39, 39, 39, 39, 40, 40, 40, 40, 41, 41, 42, 42, 43, 43, 43, 44, 44, 44, 44, 45, 45, 46, 43, 43, 44, 44, 44, 45
RACINES, 28, 28, 29, 29, 30, 30, 30, 30, 31, 31, 32, 32, 32, 32, 33, 33, 33, 33, 34, 34, 34, 35, 35, 35, 35, 35, 36, 36, 36, 36, 34, 35, 35, 35, 35, 35
RADDA IN CHIANTI, 40, 40, 40, 41, 41, 41, 42, 42, 42, 42, 42, 42, 43, 43, 42, 43, 43, 43, 43, 42, 43, 43, 43, 43, 43, 43, 43, 43, 44, 44, 42, 43, 43, 43, 43, 43
RADDUSA, 31, 31, 31, 32, 32, 32, 32, 32, 32, 33, 33, 34, 33, 34, 34, 34, 35, 35, 36, 36, 36, 37, 36, 37, 37, 38, 38, 38, 38, 38, 36, 36, 36, 37, 37, 37
RADICOFANI, 39, 40, 40, 40, 40, 40, 40, 40, 41, 40, 41, 41, 41, 41, 42, 42, 41, 41, 42, 42, 43, 43, 43, 45, 45, 45, 45, 46, 46, 46, 43, 43, 43, 44, 45, 45
RADICONDOLI, 45, 45, 44, 45, 45, 44, 45, 45, 45, 45, 45, 45, 45, 45, 45, 46, 46, 46, 46, 45, 44, 44, 43, 43, 43, 43, 43, 43, 44, 45, 44, 44, 43, 43, 43, 43
RAFFADALI, 33, 33, 34, 34, 34, 34, 35, 35, 36, 36, 36, 36, 36, 36, 37, 37, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 39, 40, 40, 40, 38, 38, 38, 39, 39, 39
RAGOGNA, 38, 39, 39, 39, 39, 40, 40, 40, 41, 41, 41, 41, 42, 42, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 44, 44, 44, 43, 43, 43, 43, 43, 43
RAGOLI, 37, 36, 36, 36, 37, 36, 37, 37, 36, 37, 38, 38, 39, 39, 39, 39, 39, 39, 40, 40, 40, 41, 41, 41, 41, 41, 41, 41, 42, 43, 39, 40, 41, 41, 41, 41
RAGUSA, 34, 34, 35, 35, 35, 35, 36, 36, 36, 36, 37, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 39, 40, 40, 40, 40, 41, 41, 41, 41, 39, 39, 39, 40, 40, 40
RAIANO, 39, 39, 39, 39, 38, 38, 38, 39, 39, 39, 40, 40, 41, 41, 41, 41, 41, 41, 41, 42, 42, 43, 43, 43, 44, 44, 43, 43, 44, 44, 42, 43, 43, 43, 43, 44
RAMACCA, 30, 31, 31, 31, 31, 32, 32, 32, 32, 32, 33, 33, 33, 33, 34, 34, 34, 34, 34, 34, 34, 35, 35, 35, 35, 36, 36, 36, 36, 36, 34, 35, 35, 35, 35, 36
RAMISETO, 43, 43, 43, 44, 44, 44, 44, 44, 45, 46, 46, 46, 47, 47, 48, 48, 48, 48, 48, 49, 49, 49, 49, 49, 48, 49, 48, 49, 49, 50, 49, 49, 50, 50, 49, 50
RAMPONIO VERNA, 40, 40, 39, 39, 38, 40, 39, 39, 39, 38, 41, 41, 42, 41, 41, 42, 41, 41, 42, 42, 42, 42, 41, 42, 43, 43, 43, 44, 45, 45, 42, 42, 41, 42, 43, 44
RANCIO VALCUVIA, 35, 36, 36, 36, 36, 36, 36, 35, 35, 36, 36, 36, 35, 36, 36, 37, 36, 37, 38, 37, 38, 38, 38, 38, 38, 39, 39, 39, 40, 40, 38, 38, 38, 38, 38, 39
RANCO, 36, 37, 37, 38, 38, 37, 38, 39, 39, 40, 40, 40, 40, 40, 39, 39, 40, 40, 41, 41, 41, 41, 41, 41, 40, 41, 41, 41, 41, 41, 41, 41, 41, 41, 40, 41
RANDAZZO, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 37, 37, 37, 37, 38, 38, 38, 38, 38, 38, 39, 39, 39, 40, 40, 40, 40, 40, 41, 41, 39, 39, 39, 39, 40, 40
